Brand;Invoiced July;Sales Budget;Sales Backorder;Jul Possible Sales;Aug Possible Sales;Sep Possible Sales;Oct Possible Sales;Nov Possible Sales;Dec Possible Sales;Jan Possible Sales;Between February '27 and Jul '27 Possible Sales;After Jul 27 Possible Sales
Fersa;297167,0141;771131;981943,1125;375846,5178;41883,45633;153491,3962;211336,348;13084,9481;31920,32001;16968,20933;1763,121387;79625,74796
A&S;156020,6063;200032;404360,7859;250209,3632;19408,07751;93488,42079;19,865625;0;0;56,79021771;52,9078125;27950,99671
NKE;60309,83125;81090;303635,4813;109891,5033;15782,44373;64949,1543;46298,74712;3659,732098;1012,804544;179,0828125;89,360625;19575,43119
PFI;48664,35156;288108;454353,8156;276663,1905;9845,632044;69936,51503;9308,952303;23411,81236;66876,65286;354,5167067;18,8125;5035,782172
